-0.2,-0.2,0.0|-0.2,-0.2,1.0|0.2,-0.2,1.0
0.2,-0.2,0.0|-0.2,1.2,1.0|0.2,0.8,1.0
-0.2,1.2,0.0|1.2,1.2,1.0|0.8,0.8,1.0
0.2,0.8,0.0|1.2,0.2,1.0|0.8,-0.2,1.0
1.2,1.2,0.0|2.2,0.2,1.0|2.2,-0.2,1.0
-0.2,-0.2,1.0|-0.2,-0.2,2.0|0.2,-0.2,2.0
0.2,-0.2,1.0|-0.2,1.2,2.0|0.2,0.8,2.0
-0.2,1.2,1.0|1.2,1.2,2.0|0.8,0.8,2.0
0.2,0.8,1.0|1.2,0.2,2.0|0.8,-0.2,2.0
1.2,1.2,1.0|2.2,0.2,2.0|1.8,-0.2,2.0
0.8,0.8,1.0|2.2,-1.2,2.0|1.8,-0.8,2.0
1.2,0.2,1.0|1.2,-1.2,2.0|0.8,-0.8,2.0
0.8,-0.2,1.0|1.2,-1.8,2.0|0.8,-2.2,2.0
2.2,0.2,1.0|2.2,-1.8,2.0|2.2,-2.2,2.0
-0.2,-0.2,0.0|0.2,-0.2,0.0|-0.2,1.2,0.0
0.2,-0.2,0.0|-0.2,1.2,0.0|0.2,0.8,0.0
0.2,-0.2,0.0|-0.2,1.2,0.0|0.2,0.8,0.0
-0.2,1.2,0.0|0.2,0.8,0.0|1.2,1.2,0.0
-0.2,1.2,0.0|0.2,0.8,0.0|1.2,1.2,0.0
0.2,0.8,0.0|1.2,1.2,0.0|1.2,0.8,0.0
-0.2,-0.2,1.0|0.2,-0.2,1.0|-0.2,1.2,1.0
0.2,-0.2,1.0|-0.2,1.2,1.0|0.2,0.8,1.0
0.2,-0.2,1.0|-0.2,1.2,1.0|0.2,0.8,1.0
-0.2,1.2,1.0|0.2,0.8,1.0|1.2,1.2,1.0
-0.2,1.2,1.0|0.2,0.8,1.0|1.2,1.2,1.0
0.2,0.8,1.0|1.2,1.2,1.0|0.8,0.8,1.0
0.2,0.8,1.0|1.2,1.2,1.0|0.8,0.8,1.0
1.2,1.2,1.0|0.8,0.8,1.0|1.2,0.2,1.0
1.2,1.2,1.0|0.8,0.8,1.0|1.2,0.2,1.0
0.8,0.8,1.0|1.2,0.2,1.0|0.8,-0.2,1.0
0.8,0.8,1.0|1.2,0.2,1.0|0.8,-0.2,1.0
1.2,0.2,1.0|0.8,-0.2,1.0|2.2,0.2,1.0
1.2,0.2,1.0|0.8,-0.2,1.0|2.2,0.2,1.0
0.8,-0.2,1.0|2.2,0.2,1.0|2.2,-0.2,1.0
-0.2,-0.2,2.0|0.2,-0.2,2.0|-0.2,1.2,2.0
0.2,-0.2,2.0|-0.2,1.2,2.0|0.2,0.8,2.0
0.2,-0.2,2.0|-0.2,1.2,2.0|0.2,0.8,2.0
-0.2,1.2,2.0|0.2,0.8,2.0|1.2,1.2,2.0
-0.2,1.2,2.0|0.2,0.8,2.0|1.2,1.2,2.0
0.2,0.8,2.0|1.2,1.2,2.0|0.8,0.8,2.0
0.2,0.8,2.0|1.2,1.2,2.0|0.8,0.8,2.0
1.2,1.2,2.0|0.8,0.8,2.0|1.2,0.2,2.0
1.2,1.2,2.0|0.8,0.8,2.0|1.2,0.2,2.0
0.8,0.8,2.0|1.2,0.2,2.0|0.8,-0.2,2.0
0.8,0.8,2.0|1.2,0.2,2.0|0.8,-0.2,2.0
1.2,0.2,2.0|0.8,-0.2,2.0|2.2,0.2,2.0
1.2,0.2,2.0|0.8,-0.2,2.0|2.2,0.2,2.0
0.8,-0.2,2.0|2.2,0.2,2.0|1.8,-0.2,2.0
0.8,-0.2,2.0|2.2,0.2,2.0|1.8,-0.2,2.0
2.2,0.2,2.0|1.8,-0.2,2.0|2.2,-1.2,2.0
2.2,0.2,2.0|1.8,-0.2,2.0|2.2,-1.2,2.0
1.8,-0.2,2.0|2.2,-1.2,2.0|1.8,-0.8,2.0
1.8,-0.2,2.0|2.2,-1.2,2.0|1.8,-0.8,2.0
2.2,-1.2,2.0|1.8,-0.8,2.0|1.2,-1.2,2.0
2.2,-1.2,2.0|1.8,-0.8,2.0|1.2,-1.2,2.0
1.8,-0.8,2.0|1.2,-1.2,2.0|0.8,-0.8,2.0
1.8,-0.8,2.0|1.2,-1.2,2.0|0.8,-0.8,2.0
1.2,-1.2,2.0|0.8,-0.8,2.0|1.2,-1.8,2.0
1.2,-1.2,2.0|0.8,-0.8,2.0|1.2,-1.8,2.0
0.8,-0.8,2.0|1.2,-1.8,2.0|0.8,-2.2,2.0
0.8,-0.8,2.0|1.2,-1.8,2.0|0.8,-2.2,2.0
1.2,-1.8,2.0|0.8,-2.2,2.0|2.2,-1.8,2.0
1.2,-1.8,2.0|0.8,-2.2,2.0|2.2,-1.8,2.0
0.8,-2.2,2.0|2.2,-1.8,2.0|2.2,-2.2,2.0